,C,Mn,Si,P,S,Cr,Cu,Ni,V,Al,Ti,Mo,N,B,W,Nb,Sn,Co,Grain Size:,Austenitization Temp:,Austenitization Time:,Ms:,Mf:,Ac1:,Ac3:,Ferrite_1_Time,Pearlite_1_Time,Bainite_1_Time
20NiMoCr6-5,0.2,0.75,0.28,0.0175,0.0275,0.4,0.0,1.6,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,,925.0,600.0,410.0,,720.0,830.0,16.577238855893167,5097.0286316889,2.410537106356636
21Mn6,0.2,1.45,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,900.0,,420.0,,725.0,875.0,0.27416785161915136,1.1209513822936692,0.3192509743545063
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,370.0,,740.0,910.0,17.867877588502896,,0.6087111780055383
22CrV3,0.22,0.76,0.3,0.013,0.016,0.76,0.0,0.07,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,920.0,900.0,420.0,,726.0,853.0,9.708651421671265,54.14362779575486,1.7090107058596518
23CrMo5,0.24,0.57,0.25,0.012,0.01,1.1,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,940.0,600.0,390.0,,745.0,815.0,41.18847623843148,401.99591128676343,3.269729859576367
23MnNiMoCr6-4,0.23,1.54,0.21,0.012,0.011,0.23,0.0,1.07,0.0,0.042,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,,860.0,600.0,370.0,,715.0,795.0,58.62412833354796,33620.409691809946,5.771053706620194
24CrMo5,0.24,0.7,0.25,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,400.0,330,735.0,830.0,1.345423659028102,138.7656196056246,0.5733096629695036
25 Cr Mo 4 (SAE 4118),0.22,0.64,0.25,0.01,0.011,0.97,0.16,0.33,0.01,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,,875.0,300.0,400.0,350,720.0,820.0,1.8112359711123038,166.69171250207407,0.7795014384390019
25CrMo4,0.25,0.7,0.25,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,875.0,,400.0,330,735.0,820.0,1.1782572088148724,144.86046270779715,0.4823666887743361
25CrMoS4,0.25,0.7,0.25,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,875.0,,400.0,340,735.0,820.0,1.2049573077773077,137.2940833566931,0.4656034550061407
25MoCr4,0.26,0.75,0.275,0.0175,0.0175,0.5,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,,890.0,900.0,410.0,,725.0,830.0,10.188965255670919,1427.1563188004232,5.702923697662177
26CrMo4-2,0.25,0.7,0.25,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,875.0,,400.0,320,735.0,820.0,1.1603872839718878,143.25962906988286,0.5120197056898922
27MnCrV4,0.3,1.17,0.15,0.0,0.0,0.78,0.0,0.36,0.11,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,,870.0,900.0,360.0,,735.0,820.0,6.649435996665045,91.62739011886731,3.327759245696544
28 NiCrMo 7 4,0.3,0.46,0.24,0.03,0.025,1.44,0.2,2.06,0.01,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,300.0,350.0,270,730.0,770.0,130.85439720555357,1447.3845804464195,8.312047745422188
3,0.255,1.45,1.06,0.01,0.011,1.02,0.2,0.2,0.0,0.014,0.026,0.084,0.0093,0.0029,0.0,0.0,0.0,0.0,,950.0,300.0,370.0,,741.0,851.0,,,3.4083515150935706
30CrMoNiV5-11,0.3,0.93,0.27,0.017,0.01,1.09,0.0,0.54,0.36,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,,935.0,1800.0,360.0,,780.0,885.0,189.21869718404812,4084.9343996802518,7.159128973599361
